sample_id,true_label
0,0
1,0
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
